slot_id,turf_name,sport,date,day_of_week,time_slot,lead_time_hrs,base_price,cost_to_operate,historical_fill_rate,status,tags
S1033,Champions Court,Basketball,2026-09-16,Wednesday,09:00-10:00,48,800.0,280.0,0.48,vacant,"weekday, regular"
S1034,Champions Court,Basketball,2026-09-16,Wednesday,13:00-14:00,6,900.0,290.0,0.21,vacant,"weekday, low-demand, afternoon, low-fill"
S1035,Champions Court,Basketball,2026-09-16,Wednesday,14:00-15:00,4,900.0,310.0,0.34,vacant,"weekday, low-demand, afternoon, low-fill"
S1036,Champions Court,Badminton,2026-09-16,Wednesday,18:00-19:00,24,550.0,190.0,0.7,vacant,"weekday, peak"
S1037,Apex Arena,Cricket,2026-09-17,Thursday,09:00-10:00,18,1150.0,450.0,0.49,vacant,"weekday, regular"
S1038,Apex Arena,Football,2026-09-17,Thursday,13:00-14:00,72,1150.0,500.0,0.15,vacant,"weekday, low-demand, afternoon, low-fill"
S1039,Apex Arena,Football,2026-09-17,Thursday,19:00-20:00,12,950.0,420.0,0.69,booked,"weekday, peak"
S1040,Apex Arena,Cricket,2026-09-17,Thursday,20:00-21:00,36,1350.0,500.0,0.82,vacant,"weekday, peak"
S1041,Velocity Turf,Basketball,2026-09-17,Thursday,08:00-09:00,72,950.0,310.0,0.52,booked,"weekday, regular"
S1042,Velocity Turf,Basketball,2026-09-17,Thursday,12:00-13:00,12,800.0,260.0,0.29,booked,"weekday, low-demand, afternoon, low-fill"
S1043,Velocity Turf,Football,2026-09-17,Thursday,16:00-17:00,4,1300.0,500.0,0.27,vacant,"weekday, low-demand, afternoon, low-fill"
S1044,Velocity Turf,Football,2026-09-17,Thursday,20:00-21:00,6,950.0,420.0,0.78,vacant,"weekday, peak"
S1045,Champions Court,Basketball,2026-09-17,Thursday,09:00-10:00,12,750.0,300.0,0.39,booked,"weekday, regular"
S1046,Champions Court,Badminton,2026-09-17,Thursday,13:00-14:00,72,550.0,190.0,0.23,vacant,"weekday, low-demand, afternoon, low-fill"
S1047,Champions Court,Basketball,2026-09-17,Thursday,19:00-20:00,24,800.0,290.0,0.76,booked,"weekday, peak"
S1048,Champions Court,Basketball,2026-09-17,Thursday,21:00-22:00,18,750.0,280.0,0.88,booked,"weekday, peak"
S1049,Apex Arena,Football,2026-09-18,Friday,08:00-09:00,18,1200.0,450.0,0.5,vacant,"weekday, regular"
S1050,Apex Arena,Cricket,2026-09-18,Friday,09:00-10:00,24,1150.0,500.0,0.37,vacant,"weekday, regular"
S1051,Apex Arena,Cricket,2026-09-18,Friday,17:00-18:00,72,1400.0,590.0,0.83,booked,"weekday, peak"
S1052,Apex Arena,Cricket,2026-09-18,Friday,21:00-22:00,8,1450.0,520.0,0.77,booked,"weekday, peak"
S1053,Velocity Turf,Basketball,2026-09-18,Friday,09:00-10:00,12,800.0,300.0,0.44,booked,"weekday, regular"
S1054,Velocity Turf,Basketball,2026-09-18,Friday,12:00-13:00,4,950.0,330.0,0.32,vacant,"weekday, low-demand, afternoon, low-fill"
S1055,Velocity Turf,Basketball,2026-09-18,Friday,14:00-15:00,24,850.0,260.0,0.35,vacant,"weekday, low-demand, afternoon, low-fill"
S1056,Velocity Turf,Basketball,2026-09-18,Friday,18:00-19:00,72,800.0,300.0,0.87,booked,"weekday, peak"
S1057,Champions Court,Badminton,2026-09-18,Friday,08:00-09:00,24,800.0,240.0,0.43,booked,"weekday, regular"
S1058,Champions Court,Badminton,2026-09-18,Friday,09:00-10:00,18,700.0,220.0,0.46,vacant,"weekday, regular"
S1059,Champions Court,Badminton,2026-09-18,Friday,18:00-19:00,12,700.0,220.0,0.83,booked,"weekday, peak"
S1060,Champions Court,Basketball,2026-09-18,Friday,19:00-20:00,36,1000.0,390.0,0.88,vacant,"weekday, peak"
S1061,Apex Arena,Cricket,2026-09-19,Saturday,09:00-10:00,24,1100.0,400.0,0.76,booked,"weekend, high-demand"
S1062,Apex Arena,Cricket,2026-09-19,Saturday,10:00-11:00,12,1450.0,630.0,0.79,booked,"weekend, high-demand"
S1063,Apex Arena,Football,2026-09-19,Saturday,18:00-19:00,48,1100.0,480.0,0.71,booked,"weekend, high-demand"
S1064,Apex Arena,Cricket,2026-09-19,Saturday,20:00-21:00,12,1300.0,490.0,0.7,booked,"weekend, high-demand"
S1065,Apex Arena,Football,2026-09-19,Saturday,21:00-22:00,6,1100.0,420.0,0.87,vacant,"weekend, high-demand"
S1066,Velocity Turf,Basketball,2026-09-19,Saturday,12:00-13:00,18,700.0,220.0,0.91,booked,"weekend, high-demand"
S1067,Velocity Turf,Basketball,2026-09-19,Saturday,14:00-15:00,36,700.0,220.0,0.79,booked,"weekend, high-demand"
S1068,Velocity Turf,Basketball,2026-09-19,Saturday,15:00-16:00,72,900.0,320.0,0.88,booked,"weekend, high-demand"
S1069,Velocity Turf,Football,2026-09-19,Saturday,17:00-18:00,36,1050.0,370.0,0.83,booked,"weekend, high-demand"
S1070,Velocity Turf,Football,2026-09-19,Saturday,19:00-20:00,24,1100.0,430.0,0.75,booked,"weekend, high-demand"
S1071,Champions Court,Basketball,2026-09-19,Saturday,08:00-09:00,18,850.0,290.0,0.83,booked,"weekend, high-demand"
S1072,Champions Court,Badminton,2026-09-19,Saturday,12:00-13:00,36,700.0,260.0,0.92,booked,"weekend, high-demand"
S1073,Champions Court,Badminton,2026-09-19,Saturday,17:00-18:00,72,800.0,260.0,0.8,vacant,"weekend, high-demand"
S1074,Champions Court,Basketball,2026-09-19,Saturday,19:00-20:00,24,850.0,270.0,0.93,booked,"weekend, high-demand"
S1075,Champions Court,Basketball,2026-09-19,Saturday,21:00-22:00,8,800.0,280.0,0.65,booked,"weekend, high-demand"
S1076,Apex Arena,Football,2026-09-20,Sunday,12:00-13:00,18,1300.0,490.0,0.87,booked,"weekend, high-demand"
S1077,Apex Arena,Football,2026-09-20,Sunday,14:00-15:00,12,1000.0,350.0,0.81,vacant,"weekend, high-demand"
S1078,Apex Arena,Football,2026-09-20,Sunday,17:00-18:00,12,1150.0,450.0,0.78,booked,"weekend, high-demand"
S1079,Apex Arena,Cricket,2026-09-20,Sunday,18:00-19:00,8,1350.0,530.0,0.81,booked,"weekend, high-demand"
S1080,Apex Arena,Football,2026-09-20,Sunday,19:00-20:00,6,1300.0,570.0,0.65,booked,"weekend, high-demand"
S1081,Velocity Turf,Football,2026-09-20,Sunday,07:00-08:00,48,950.0,380.0,0.78,booked,"weekend, high-demand"
S1082,Velocity Turf,Basketball,2026-09-20,Sunday,09:00-10:00,72,950.0,340.0,0.83,booked,"weekend, high-demand"
S1083,Velocity Turf,Basketball,2026-09-20,Sunday,10:00-11:00,48,800.0,300.0,0.92,booked,"weekend, high-demand"
S1084,Velocity Turf,Football,2026-09-20,Sunday,16:00-17:00,72,1250.0,470.0,0.76,booked,"weekend, high-demand"
S1085,Velocity Turf,Football,2026-09-20,Sunday,17:00-18:00,18,1050.0,410.0,0.74,booked,"weekend, high-demand"
S1086,Champions Court,Badminton,2026-09-20,Sunday,08:00-09:00,8,600.0,200.0,0.76,booked,"weekend, high-demand"
S1087,Champions Court,Badminton,2026-09-20,Sunday,09:00-10:00,72,700.0,240.0,0.87,booked,"weekend, high-demand"
S1088,Champions Court,Badminton,2026-09-20,Sunday,14:00-15:00,36,600.0,230.0,0.83,vacant,"weekend, high-demand"
S1089,Champions Court,Badminton,2026-09-20,Sunday,17:00-18:00,4,800.0,270.0,0.76,vacant,"weekend, high-demand"
S1090,Champions Court,Basketball,2026-09-20,Sunday,21:00-22:00,36,900.0,350.0,0.84,booked,"weekend, high-demand"
S1091,Apex Arena,Cricket,2026-09-21,Monday,13:00-14:00,48,1200.0,450.0,0.29,vacant,"weekday, low-demand, afternoon, low-fill"
S1092,Apex Arena,Cricket,2026-09-21,Monday,18:00-19:00,36,1450.0,610.0,0.88,booked,"weekday, peak"
S1093,Apex Arena,Cricket,2026-09-21,Monday,19:00-20:00,72,1150.0,520.0,0.74,booked,"weekday, peak"
S1094,Apex Arena,Cricket,2026-09-21,Monday,21:00-22:00,4,1400.0,570.0,0.77,booked,"weekday, peak"
S1095,Velocity Turf,Football,2026-09-21,Monday,12:00-13:00,12,1050.0,410.0,0.25,vacant,"weekday, low-demand, afternoon, low-fill"
S1096,Velocity Turf,Basketball,2026-09-21,Monday,16:00-17:00,36,900.0,300.0,0.18,vacant,"weekday, low-demand, afternoon, low-fill"
S1097,Velocity Turf,Football,2026-09-21,Monday,17:00-18:00,72,1150.0,400.0,0.82,booked,"weekday, peak"
S1098,Velocity Turf,Basketball,2026-09-21,Monday,20:00-21:00,4,800.0,290.0,0.82,booked,"weekday, peak"
S1099,Champions Court,Badminton,2026-09-21,Monday,08:00-09:00,6,550.0,190.0,0.48,booked,"weekday, regular"
S1100,Champions Court,Badminton,2026-09-21,Monday,12:00-13:00,24,750.0,280.0,0.26,vacant,"weekday, low-demand, afternoon, low-fill"
S1101,Champions Court,Badminton,2026-09-21,Monday,13:00-14:00,6,600.0,240.0,0.18,vacant,"weekday, low-demand, afternoon, low-fill"
S1102,Champions Court,Basketball,2026-09-21,Monday,21:00-22:00,36,1000.0,370.0,0.77,booked,"weekday, peak"
S1103,Apex Arena,Football,2026-09-22,Tuesday,09:00-10:00,6,1250.0,530.0,0.46,booked,"weekday, regular"
S1104,Apex Arena,Football,2026-09-22,Tuesday,13:00-14:00,24,1100.0,440.0,0.22,vacant,"weekday, low-demand, afternoon, low-fill"
S1105,Apex Arena,Cricket,2026-09-22,Tuesday,20:00-21:00,48,1100.0,480.0,0.79,booked,"weekday, peak"
S1106,Apex Arena,Cricket,2026-09-22,Tuesday,21:00-22:00,48,1400.0,610.0,0.83,booked,"weekday, peak"
S1107,Velocity Turf,Basketball,2026-09-22,Tuesday,12:00-13:00,18,950.0,330.0,0.41,vacant,"weekday, low-demand, afternoon, low-fill"
S1108,Velocity Turf,Football,2026-09-22,Tuesday,14:00-15:00,48,950.0,360.0,0.29,vacant,"weekday, low-demand, afternoon, low-fill"
S1109,Velocity Turf,Basketball,2026-09-22,Tuesday,16:00-17:00,36,1000.0,360.0,0.3,vacant,"weekday, low-demand, afternoon, low-fill"
S1110,Velocity Turf,Basketball,2026-09-22,Tuesday,18:00-19:00,12,850.0,270.0,0.79,booked,"weekday, peak"
S1111,Champions Court,Badminton,2026-09-22,Tuesday,14:00-15:00,6,750.0,300.0,0.15,vacant,"weekday, low-demand, afternoon, low-fill"
S1112,Champions Court,Basketball,2026-09-22,Tuesday,15:00-16:00,12,950.0,340.0,0.28,vacant,"weekday, low-demand, afternoon, low-fill"
S1113,Champions Court,Basketball,2026-09-22,Tuesday,19:00-20:00,6,950.0,360.0,0.8,booked,"weekday, peak"
S1114,Champions Court,Basketball,2026-09-22,Tuesday,21:00-22:00,24,800.0,260.0,0.95,booked,"weekday, peak"
S1115,Apex Arena,Cricket,2026-09-23,Wednesday,15:00-16:00,18,1300.0,550.0,0.27,vacant,"weekday, low-demand, afternoon, low-fill"
S1116,Apex Arena,Football,2026-09-23,Wednesday,16:00-17:00,24,950.0,400.0,0.3,vacant,"weekday, low-demand, afternoon, low-fill"
S1117,Apex Arena,Football,2026-09-23,Wednesday,18:00-19:00,48,1000.0,370.0,0.8,booked,"weekday, peak"
S1118,Apex Arena,Cricket,2026-09-23,Wednesday,21:00-22:00,18,1150.0,500.0,0.71,booked,"weekday, peak"
S1119,Velocity Turf,Football,2026-09-23,Wednesday,08:00-09:00,4,1050.0,370.0,0.55,booked,"weekday, regular"
S1120,Velocity Turf,Football,2026-09-23,Wednesday,12:00-13:00,48,1250.0,550.0,0.33,vacant,"weekday, low-demand, afternoon, low-fill"
S1121,Velocity Turf,Football,2026-09-23,Wednesday,14:00-15:00,48,1200.0,450.0,0.34,vacant,"weekday, low-demand, afternoon, low-fill"
S1122,Velocity Turf,Football,2026-09-23,Wednesday,18:00-19:00,48,950.0,360.0,0.73,booked,"weekday, peak"
S1123,Champions Court,Badminton,2026-09-23,Wednesday,09:00-10:00,18,600.0,190.0,0.56,vacant,"weekday, regular"
S1124,Champions Court,Badminton,2026-09-23,Wednesday,16:00-17:00,36,550.0,200.0,0.18,vacant,"weekday, low-demand, afternoon, low-fill"
S1125,Champions Court,Badminton,2026-09-23,Wednesday,17:00-18:00,48,750.0,250.0,0.85,booked,"weekday, peak"
S1126,Champions Court,Basketball,2026-09-23,Wednesday,21:00-22:00,4,850.0,300.0,0.95,booked,"weekday, peak"
S1127,Apex Arena,Cricket,2026-09-24,Thursday,09:00-10:00,12,1450.0,520.0,0.42,vacant,"weekday, regular"
S1128,Apex Arena,Football,2026-09-24,Thursday,13:00-14:00,48,1000.0,350.0,0.24,vacant,"weekday, low-demand, afternoon, low-fill"
S1129,Apex Arena,Cricket,2026-09-24,Thursday,19:00-20:00,18,1250.0,440.0,0.81,booked,"weekday, peak"
S1130,Apex Arena,Cricket,2026-09-24,Thursday,21:00-22:00,18,1150.0,480.0,0.76,booked,"weekday, peak"
S1131,Velocity Turf,Football,2026-09-24,Thursday,13:00-14:00,8,1200.0,450.0,0.17,booked,"weekday, low-demand, afternoon, low-fill"
S1132,Velocity Turf,Football,2026-09-24,Thursday,16:00-17:00,18,950.0,340.0,0.28,vacant,"weekday, low-demand, afternoon, low-fill"
S1133,Velocity Turf,Basketball,2026-09-24,Thursday,19:00-20:00,18,900.0,280.0,0.72,booked,"weekday, peak"
S1134,Velocity Turf,Basketball,2026-09-24,Thursday,20:00-21:00,48,950.0,340.0,0.84,booked,"weekday, peak"
S1135,Champions Court,Badminton,2026-09-24,Thursday,08:00-09:00,4,550.0,180.0,0.42,booked,"weekday, regular"
S1136,Champions Court,Basketball,2026-09-24,Thursday,14:00-15:00,8,1000.0,300.0,0.39,vacant,"weekday, low-demand, afternoon, low-fill"
S1137,Champions Court,Basketball,2026-09-24,Thursday,15:00-16:00,36,850.0,270.0,0.23,vacant,"weekday, low-demand, afternoon, low-fill"
S1138,Champions Court,Basketball,2026-09-24,Thursday,16:00-17:00,36,750.0,260.0,0.26,vacant,"weekday, low-demand, afternoon, low-fill"
S1139,Apex Arena,Cricket,2026-09-25,Friday,09:00-10:00,36,1450.0,580.0,0.53,booked,"weekday, regular"
S1140,Apex Arena,Football,2026-09-25,Friday,12:00-13:00,18,1150.0,410.0,0.19,vacant,"weekday, low-demand, afternoon, low-fill"
S1141,Apex Arena,Cricket,2026-09-25,Friday,15:00-16:00,4,1350.0,580.0,0.3,vacant,"weekday, low-demand, afternoon, low-fill"
S1142,Apex Arena,Cricket,2026-09-25,Friday,20:00-21:00,72,1300.0,460.0,0.9,booked,"weekday, peak"
S1143,Velocity Turf,Football,2026-09-25,Friday,08:00-09:00,18,1050.0,430.0,0.38,vacant,"weekday, regular"
S1144,Velocity Turf,Basketball,2026-09-25,Friday,17:00-18:00,12,750.0,230.0,0.81,booked,"weekday, peak"
S1145,Velocity Turf,Basketball,2026-09-25,Friday,20:00-21:00,36,1000.0,300.0,0.82,booked,"weekday, peak"
S1146,Velocity Turf,Football,2026-09-25,Friday,21:00-22:00,8,1150.0,510.0,0.86,booked,"weekday, peak"
S1147,Champions Court,Basketball,2026-09-25,Friday,14:00-15:00,12,950.0,380.0,0.19,vacant,"weekday, low-demand, afternoon, low-fill"
S1148,Champions Court,Badminton,2026-09-25,Friday,18:00-19:00,72,700.0,220.0,0.69,booked,"weekday, peak"
S1149,Champions Court,Badminton,2026-09-25,Friday,20:00-21:00,36,550.0,180.0,0.84,booked,"weekday, peak"
S1150,Champions Court,Basketball,2026-09-25,Friday,21:00-22:00,18,700.0,230.0,0.82,vacant,"weekday, peak"
S1151,Apex Arena,Cricket,2026-09-26,Saturday,09:00-10:00,72,1300.0,500.0,0.82,booked,"weekend, high-demand"
S1152,Apex Arena,Cricket,2026-09-26,Saturday,16:00-17:00,12,1200.0,540.0,0.83,booked,"weekend, high-demand"
S1153,Apex Arena,Football,2026-09-26,Saturday,18:00-19:00,24,1300.0,510.0,0.75,booked,"weekend, high-demand"
S1154,Apex Arena,Cricket,2026-09-26,Saturday,19:00-20:00,8,1300.0,580.0,0.82,booked,"weekend, high-demand"
S1155,Apex Arena,Football,2026-09-26,Saturday,20:00-21:00,24,950.0,380.0,0.82,vacant,"weekend, high-demand"
S1156,Velocity Turf,Football,2026-09-26,Saturday,07:00-08:00,8,1100.0,480.0,0.74,booked,"weekend, high-demand"
S1157,Velocity Turf,Basketball,2026-09-26,Saturday,08:00-09:00,36,850.0,310.0,0.95,booked,"weekend, high-demand"
S1158,Velocity Turf,Basketball,2026-09-26,Saturday,16:00-17:00,24,950.0,320.0,0.84,booked,"weekend, high-demand"
S1159,Velocity Turf,Basketball,2026-09-26,Saturday,17:00-18:00,6,1000.0,300.0,0.7,booked,"weekend, high-demand"
S1160,Velocity Turf,Basketball,2026-09-26,Saturday,21:00-22:00,36,800.0,300.0,0.85,vacant,"weekend, high-demand"
S1161,Champions Court,Basketball,2026-09-26,Saturday,08:00-09:00,4,700.0,210.0,0.72,booked,"weekend, high-demand"
S1162,Champions Court,Basketball,2026-09-26,Saturday,09:00-10:00,72,900.0,280.0,0.86,booked,"weekend, high-demand"
S1163,Champions Court,Badminton,2026-09-26,Saturday,16:00-17:00,36,600.0,190.0,0.89,booked,"weekend, high-demand"
S1164,Champions Court,Badminton,2026-09-26,Saturday,19:00-20:00,8,750.0,290.0,0.73,booked,"weekend, high-demand"
S1165,Champions Court,Basketball,2026-09-26,Saturday,21:00-22:00,4,950.0,310.0,0.88,vacant,"weekend, high-demand"
S1166,Apex Arena,Football,2026-09-27,Sunday,09:00-10:00,18,1150.0,510.0,0.83,booked,"weekend, high-demand"
S1167,Apex Arena,Cricket,2026-09-27,Sunday,12:00-13:00,18,1450.0,540.0,0.87,booked,"weekend, high-demand"
S1168,Apex Arena,Cricket,2026-09-27,Sunday,16:00-17:00,36,1350.0,490.0,0.95,booked,"weekend, high-demand"
S1169,Apex Arena,Cricket,2026-09-27,Sunday,17:00-18:00,36,1450.0,550.0,0.78,booked,"weekend, high-demand"
S1170,Apex Arena,Football,2026-09-27,Sunday,19:00-20:00,18,1200.0,510.0,0.74,booked,"weekend, high-demand"
S1171,Velocity Turf,Basketball,2026-09-27,Sunday,10:00-11:00,4,750.0,270.0,0.73,booked,"weekend, high-demand"
S1172,Velocity Turf,Basketball,2026-09-27,Sunday,14:00-15:00,8,700.0,250.0,0.73,booked,"weekend, high-demand"
S1173,Velocity Turf,Basketball,2026-09-27,Sunday,18:00-19:00,8,850.0,320.0,0.79,booked,"weekend, high-demand"
S1174,Velocity Turf,Basketball,2026-09-27,Sunday,20:00-21:00,18,950.0,330.0,0.83,vacant,"weekend, high-demand"
S1175,Velocity Turf,Basketball,2026-09-27,Sunday,21:00-22:00,18,950.0,380.0,0.82,booked,"weekend, high-demand"
S1176,Champions Court,Badminton,2026-09-27,Sunday,08:00-09:00,72,700.0,280.0,0.87,booked,"weekend, high-demand"
S1177,Champions Court,Basketball,2026-09-27,Sunday,09:00-10:00,6,700.0,230.0,0.8,booked,"weekend, high-demand"
S1178,Champions Court,Basketball,2026-09-27,Sunday,14:00-15:00,24,1000.0,340.0,0.92,booked,"weekend, high-demand"
S1179,Champions Court,Badminton,2026-09-27,Sunday,16:00-17:00,72,750.0,230.0,0.78,booked,"weekend, high-demand"
S1180,Champions Court,Badminton,2026-09-27,Sunday,20:00-21:00,48,550.0,200.0,0.95,vacant,"weekend, high-demand"
